Molecule ChEMBL ID,Smiles,pIC50,BCUTs-1l,Xch-7d,BCUTd-1h,Xch-6d,BCUTc-1l,Xc-5d,SlogP_VSA2,BCUTi-1l,Xch-6dv,BCUTc-1h,BCUTse-1l,BCUTd-1l,Xc-3d,pIC50_binary
D0305,c1c(c(cc2c1CCN1[C@H]2C[C@@H]([C@H](C1)N1C(=O)C[C@H](C1)C)[NH3+])OC)OC,8.585,1.180723145056156,0.744745161944795,3.2215207645998896,0.4146723119520975,-0.5283731408027327,0.5229772976622741,61.644545149641175,10.94685664930745,0.2243111787394452,0.7060413132135915,2.4308434263593783,0.9778708678087992,1.9710773760043283,1
D3003,[NH3+][C@H](C(=O)N1CCCC1)CO,3.721,1.251470236101579,0.1314458557658021,3.160659923956956,0.0833333333333333,-0.4045956734020092,0.2323078083528919,41.65185246052872,11.09911463511375,0.0559016994374947,0.7212713650027518,2.5746377847324173,0.9779324569869547,0.5948190167920577,0
D1102,N1(C(=O)[C@@H]([NH3+])[C@H](CC)C)[C@H](B(O)O)CCC1,7.602,1.1908288568056389,0.2826915653637701,3.195432167704768,0.1360827634879543,-0.4045202849325924,0.5173996137744139,46.50131677748469,8.290109311435558,0.0983481741282368,0.7174415959814943,2.2371455139142684,0.9778099766568508,1.2261013001645085,1
D0127,N1(C(=O)C[C@H]([NH3+])Cc2c(cc(C(F)(F)F)cc2)F)[C@H](C(=O)NCc2ccc(O[C@@H](C(=O)[O-])C(C)C)cc2)CCC1,9.081,1.2053208613488655,0.5396172436650039,4.022124263694995,0.2874574785652648,-0.6261399688711236,1.0710350043513168,47.415978929462135,10.949092384256014,0.1431211319115398,0.7043485182480809,2.4335243603359293,0.972392106731202,4.155974801124264,1
D0044,C1CCN([C@@H]1C(=O)O/C=C(/CCC=C(C)C)\C)C(=O)[C@H](CCCCNC(=O)OC(C)(C)C)NC(=O)OC(C)(C)C,9.432,1.2000818298180045,0.2627627060522617,4.018456443550008,0.1360827634879543,-0.4782281210972257,0.3265730654172694,65.33817098211911,10.990573758408225,0.0912870929175276,0.5008477430762434,2.476076872449975,0.9771865812482472,5.262578581575911,1
D1406,c1(cc(c(cc1F)[C@H]1Cc2n(C[C@@H]1[NH3+])c1c(n2)cc(cc1)C(=O)N(C)C)F)F,7.284,1.1807775745715976,0.8556219350437596,3.271026776995305,0.4013747150773105,-0.4404929920409736,0.8949857655904203,40.49535242344288,10.952449699437087,0.1463802466933729,0.7064556326060478,2.430162570981713,0.9776606705243388,2.512923518597089,1
D1119,c1c(c(cc(c1)F)[C@H]1CC[C@H](C[C@@H]1N)N1Cc2c(C1)nc1n(c2)nc(c1)C)F,7.585,1.1766515908333095,1.0256876045736132,3.2169231269699665,0.6155844464399116,-0.4305654141279443,0.4980056452854308,31.581649612010267,10.95262324979158,0.2545252467402485,0.3979286805315199,2.436472253070661,0.9929374297161542,2.320920316956566,1
D2556,c1(cc(c(cc1F)C[C@H](CC(=O)N1N=CC[C@H]1C(=O)Oc1ccc(cc1)C(=O)OCC)[NH3+])F)F,5.796,1.234489763068236,0.5845799826827449,3.199247493215906,0.2749716523768432,-0.4922654890819711,0.6503745723476134,47.75986703155389,10.953586665719168,0.0957515631902142,0.7043514652758773,2.4365877587935043,0.9772356097107576,2.512511702509081,0
D1187,N1([C@@H](C[C@@H](C1)F)C(=O)c1oc(nn1)C1CCCCC1)C(=O)C[NH2+]C(C)(C)C,7.523,1.1726780004343418,0.6274153740377323,4.017051219994412,0.4454809920799688,-0.4844780504207381,0.4099063987506027,57.62965231203574,11.05036556460496,0.2267608006382817,0.5113461448558037,2.5324204053538173,0.9772601049463868,3.049653183475934,1
D2163,C(C(=O)N1[C@@H](CCC1)C#N)[NH2+]CCc1ccccc1,6.516,1.2607305170062184,0.3197685435909513,3.159161970585669,0.2534367876932762,-0.4053021510649615,0.1642664266089148,36.48319950708767,10.954540988955127,0.1233621078725068,0.5141377920691773,2.440208369124302,0.9113460145538926,0.7425758357820684,0
D2361,C1N(C[C@H](C1)F)C(=O)[C@H]([C@H](C)c1nc(no1)c1ccc(cc1Cl)Cl)[NH3+],6.211,1.1966185944632317,0.5847379814819511,3.2104820729490853,0.3900166571736666,-0.4392438772989701,0.5789387385610123,46.25076027475804,10.953190490944884,0.1261944059234883,0.7188755166011584,2.435763371845229,0.9778444403677392,2.026485562262722,0
